field_1,zip_code,311byzip,FWbyzip,zip_int,FWper311
"0","83.0","1","0","83",0.000
"1","10000.0","47","1.0","10000",2.128
"2","10001.0","980","1.0","10001",0.102
"3","10002.0","2439","79.0","10002",3.239
"4","10003.0","1593","18.0","10003",1.130
"5","10004.0","149","4.0","10004",2.685
"6","10005.0","112","1.0","10005",0.893
"7","10006.0","58","3.0","10006",5.172
"8","10007.0","230","5.0","10007",2.174
"9","10009.0","1871","60.0","10009",3.207
"10","10010.0","722","6.0","10010",0.831
"11","10011.0","2241","44.0","10011",1.963
"12","10012.0","882","6.0","10012",0.680
"13","10013.0","776","3.0","10013",0.387
"14","10014.0","1399","5.0","10014",0.357
"15","10016.0","1239","7.0","10016",0.565
"16","10017.0","357","2.0","10017",0.560
"17","10018.0","334","1.0","10018",0.299
"18","10019.0","1370","9.0","10019",0.657
"19","10020.0","14","0","10020",0.000
"20","10021.0","453","1.0","10021",0.221
"21","10022.0","645","3.0","10022",0.465
"22","10023.0","1928","7.0","10023",0.363
"23","10024.0","1183","18.0","10024",1.522
"24","10025.0","2138","91.0","10025",4.256
"25","10026.0","1936","233.0","10026",12.035
"26","10027.0","2089","170.0","10027",8.138
"27","10028.0","817","4.0","10028",0.490
"28","10029.0","1866","101.0","10029",5.413
"29","10030.0","1329","156.0","10030",11.738
"30","10031.0","3435","459.0","10031",13.362
"31","10032.0","3479","475.0","10032",13.653
"32","10033.0","2564","264.0","10033",10.296
"33","10034.0","2913","258.0","10034",8.857
"34","10035.0","1035","76.0","10035",7.343
"35","10036.0","896","5.0","10036",0.558
"36","10037.0","927","209.0","10037",22.546
"37","10038.0","411","23.0","10038",5.596
"38","10039.0","1169","58.0","10039",4.962
"39","10040.0","3051","394.0","10040",12.914
"40","10041.0","1","0","10041",0.000
"41","10044.0","38","0","10044",0.000
"42","10048.0","2","1.0","10048",50.000
"43","10065.0","401","0","10065",0.000
"44","10069.0","33","0","10069",0.000
"45","10075.0","380","2.0","10075",0.526
"46","10103.0","7","0","10103",0.000
"47","10105.0","5","0","10105",0.000
"48","10107.0","1","0","10107",0.000
"49","10110.0","2","0","10110",0.000
"50","10111.0","1","0","10111",0.000
"51","10112.0","1","0","10112",0.000
"52","10115.0","1","0","10115",0.000
"53","10118.0","6","0","10118",0.000
"54","10120.0","1","0","10120",0.000
"55","10121.0","28","1.0","10121",3.571
"56","10122.0","1","0","10122",0.000
"57","10123.0","3","0","10123",0.000
"58","10128.0","673","41.0","10128",6.092
"59","10151.0","3","0","10151",0.000
"60","10153.0","15","0","10153",0.000
"61","10155.0","1","0","10155",0.000
"62","10158.0","5","0","10158",0.000
"63","10162.0","13","0","10162",0.000
"64","10165.0","7","0","10165",0.000
"65","10167.0","1","0","10167",0.000
"66","10168.0","1","0","10168",0.000
"67","10169.0","27","0","10169",0.000
"68","10170.0","1","0","10170",0.000
"69","10172.0","3","0","10172",0.000
"70","10173.0","7","0","10173",0.000
"71","10177.0","1","0","10177",0.000
"72","10271.0","2","0","10271",0.000
"73","10278.0","3","0","10278",0.000
"74","10279.0","4","0","10279",0.000
"75","10280.0","59","1.0","10280",1.695
"76","10281.0","9","1.0","10281",11.111
"77","10282.0","28","0","10282",0.000
"78","10301.0","1113","62.0","10301",5.571
"79","10302.0","529","12.0","10302",2.268
"80","10303.0","676","14.0","10303",2.071
"81","10304.0","1140","43.0","10304",3.772
"82","10305.0","713","26.0","10305",3.647
"83","10306.0","1198","31.0","10306",2.588
"84","10307.0","282","23.0","10307",8.156
"85","10308.0","560","64.0","10308",11.429
"86","10309.0","667","42.0","10309",6.297
"87","10310.0","738","81.0","10310",10.976
"88","10312.0","1296","65.0","10312",5.015
"89","10314.0","1664","75.0","10314",4.507
"90","10451.0","2004","22.0","10451",1.098
"91","10452.0","4157","92.0","10452",2.213
"92","10453.0","4402","82.0","10453",1.863
"93","10454.0","1054","18.0","10454",1.708
"94","10455.0","1341","23.0","10455",1.715
"95","10456.0","3592","99.0","10456",2.756
"96","10457.0","4017","82.0","10457",2.041
"97","10458.0","3473","71.0","10458",2.044
"98","10459.0","1687","38.0","10459",2.253
"99","10460.0","2806","67.0","10460",2.388
"100","10461.0","1847","31.0","10461",1.678
"101","10462.0","2192","35.0","10462",1.597
"102","10463.0","2271","31.0","10463",1.365
"103","10464.0","215","2.0","10464",0.930
"104","10465.0","1258","52.0","10465",4.134
"105","10466.0","4395","54.0","10466",1.229
"106","10467.0","3791","115.0","10467",3.034
"107","10468.0","4560","151.0","10468",3.311
"108","10469.0","1833","90.0","10469",4.910
"109","10470.0","446","6.0","10470",1.345
"110","10471.0","613","8.0","10471",1.305
"111","10472.0","2955","30.0","10472",1.015
"112","10473.0","1461","38.0","10473",2.601
"113","10474.0","597","6.0","10474",1.005
"114","10475.0","440","6.0","10475",1.364
"115","11001.0","63","0","11001",0.000
"116","11004.0","217","0","11004",0.000
"117","11005.0","10","0","11005",0.000
"118","11040.0","41","0","11040",0.000
"119","11101.0","1619","27.0","11101",1.668
"120","11102.0","882","51.0","11102",5.782
"121","11103.0","1034","5.0","11103",0.484
"122","11104.0","557","12.0","11104",2.154
"123","11105.0","1216","24.0","11105",1.974
"124","11106.0","954","18.0","11106",1.887
"125","11109.0","198","16.0","11109",8.081
"126","11201.0","1684","9.0","11201",0.534
"127","11203.0","2369","195.0","11203",8.231
"128","11204.0","1288","18.0","11204",1.398
"129","11205.0","1346","27.0","11205",2.006
"130","11206.0","2275","63.0","11206",2.769
"131","11207.0","3212","58.0","11207",1.806
"132","11208.0","3773","119.0","11208",3.154
"133","11209.0","1718","35.0","11209",2.037
"134","11210.0","1682","41.0","11210",2.438
"135","11211.0","2724","36.0","11211",1.322
"136","11212.0","2179","124.0","11212",5.691
"137","11213.0","2282","104.0","11213",4.557
"138","11214.0","1513","29.0","11214",1.917
"139","11215.0","1914","14.0","11215",0.731
"140","11216.0","2421","83.0","11216",3.428
"141","11217.0","1285","29.0","11217",2.257
"142","11218.0","1632","40.0","11218",2.451
"143","11219.0","1237","11.0","11219",0.889
"144","11220.0","2000","53.0","11220",2.650
"145","11221.0","3043","69.0","11221",2.267
"146","11222.0","1577","48.0","11222",3.044
"147","11223.0","1470","54.0","11223",3.673
"148","11224.0","1039","36.0","11224",3.465
"149","11225.0","2139","73.0","11225",3.413
"150","11226.0","4289","454.0","11226",10.585
"151","11228.0","783","14.0","11228",1.788
"152","11229.0","1686","31.0","11229",1.839
"153","11230.0","1582","12.0","11230",0.759
"154","11231.0","981","9.0","11231",0.917
"155","11232.0","919","16.0","11232",1.741
"156","11233.0","2603","93.0","11233",3.573
"157","11234.0","2099","39.0","11234",1.858
"158","11235.0","1706","16.0","11235",0.938
"159","11236.0","2115","121.0","11236",5.721
"160","11237.0","1909","76.0","11237",3.981
"161","11238.0","2401","69.0","11238",2.874
"162","11239.0","215","2.0","11239",0.930
"163","11242.0","1","0","11242",0.000
"164","11249.0","1177","81.0","11249",6.882
"165","11251.0","2","0","11251",0.000
"166","11354.0","850","20.0","11354",2.353
"167","11355.0","1158","4.0","11355",0.345
"168","11356.0","1166","7.0","11356",0.600
"169","11357.0","1111","35.0","11357",3.150
"170","11358.0","676","11.0","11358",1.627
"171","11359.0","10","1.0","11359",10.000
"172","11360.0","212","6.0","11360",2.830
"173","11361.0","511","11.0","11361",2.153
"174","11362.0","281","0","11362",0.000
"175","11363.0","159","0","11363",0.000
"176","11364.0","541","36.0","11364",6.654
"177","11365.0","900","25.0","11365",2.778
"178","11366.0","1627","8.0","11366",0.492
"179","11367.0","575","6.0","11367",1.043
"180","11368.0","2582","41.0","11368",1.588
"181","11369.0","827","11.0","11369",1.330
"182","11370.0","560","36.0","11370",6.429
"183","11371.0","1","0","11371",0.000
"184","11372.0","1283","22.0","11372",1.715
"185","11373.0","1672","12.0","11373",0.718
"186","11374.0","928","6.0","11374",0.647
"187","11375.0","1063","8.0","11375",0.753
"188","11377.0","2243","44.0","11377",1.962
"189","11378.0","1321","19.0","11378",1.438
"190","11379.0","1240","58.0","11379",4.677
"191","11385.0","3508","69.0","11385",1.967
"192","11411.0","491","10.0","11411",2.037
"193","11412.0","1010","63.0","11412",6.238
"194","11413.0","934","22.0","11413",2.355
"195","11414.0","654","34.0","11414",5.199
"196","11415.0","445","15.0","11415",3.371
"197","11416.0","984","15.0","11416",1.524
"198","11417.0","1179","13.0","11417",1.103
"199","11418.0","1169","25.0","11418",2.139
"200","11419.0","1810","25.0","11419",1.381
"201","11420.0","1913","30.0","11420",1.568
"202","11421.0","1562","38.0","11421",2.433
"203","11422.0","686","3.0","11422",0.437
"204","11423.0","654","17.0","11423",2.599
"205","11426.0","306","6.0","11426",1.961
"206","11427.0","346","19.0","11427",5.491
"207","11428.0","448","17.0","11428",3.795
"208","11429.0","610","25.0","11429",4.098
"209","11430.0","105","0","11430",0.000
"210","11432.0","1363","64.0","11432",4.696
"211","11433.0","1318","28.0","11433",2.124
"212","11434.0","1501","30.0","11434",1.999
"213","11435.0","1595","67.0","11435",4.201
"214","11436.0","677","21.0","11436",3.102
"215","11691.0","1171","25.0","11691",2.135
"216","11692.0","457","11.0","11692",2.407
"217","11693.0","502","8.0","11693",1.594
"218","11694.0","885","30.0","11694",3.390
"219","11695.0","2","0","11695",0.000
"220","11697.0","16","0","11697",0.000
"221","12345.0","19","2.0","12345",10.526
