boro_code,boro_name,county_fip,ntacode,ntaname,shape_area,shape_leng,NUMPOINTS
1.0000000000000000000000000000000,Manhattan,"061",MN21,Gramercy,7526916.1947900000959634780883789062500,12096.8911482999992585973814129829407,27.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN12,Upper West Side,34379942.3905000016093254089355468750000,29160.2062762999994447454810142517090,29.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN17,Midtown-Midtown South,30191534.2408999986946582794189453125000,27032.7003747999988263472914695739746,55.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN35,Washington Heights North,22667408.1409999988973140716552734375000,26683.2944218999982695095241069793701,49.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN13,Hudson Yards-Chelsea-Flatiron-Union Square,37056588.0199000015854835510253906250000,45490.5807254000028478913009166717529,47.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN15,Clinton,18373942.8216999992728233337402343750000,34570.7766855000008945353329181671143,83.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN32,Yorkville,13602064.3589999992400407791137695312500,17998.7208554999997431878000497817993,36.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN01,Marble Hill-Inwood,17771939.5003000013530254364013671875000,31122.1262261000010767020285129547119,56.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN09,Morningside Heights,20153942.5397000014781951904296875000000,20749.4974413000018103048205375671387,20.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN34,East Harlem North,24494900.4367999993264675140380859375000,30603.7153362999997625593096017837524,16.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN11,Central Harlem South,14441227.9280999992042779922485351562500,16624.4621188999990408774465322494507,24.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN27,Chinatown,14501876.9065000005066394805908203125000,20786.2543277000004309229552745819092,88.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032679.6310000009834766387939453125000,26855.0315668000002915505319833755493,62.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN25,Battery Park City-Lower Manhattan,19013800.1770000010728836059570312500000,43736.5894257999971159733831882476807,8.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN20,Murray Hill-Kips Bay,14452711.3026999998837709426879882812500,23271.3552793000017118174582719802856,20.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN50,Stuyvesant Town-Cooper Village,5582241.7301599998027086257934570312500,12021.7480114000009052688255906105042,0.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN28,Lower East Side,23299374.3454000018537044525146484375000,26518.5121136999987356830388307571411,40.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN31,Lenox Hill-Roosevelt Island,21508615.6392999999225139617919921875000,38404.4843211999977938830852508544922,31.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN33,East Harlem South,16650685.3574000000953674316406250000000,18624.6611115999985486268997192382812,10.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN06,Manhattanville,10734804.7181000001728534698486328125000,17357.2464867000016965903341770172119,8.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN14,Lincoln Square,15805540.8268999997526407241821289062500,19869.5936922000000777188688516616821,15.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN19,Turtle Bay-East Midtown,17390168.2829999998211860656738281250000,21251.8417279999994207173585891723633,35.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN36,Washington Heights South,23096283.5870000012218952178955078125000,22171.7208891000009316485375165939331,30.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN40,Upper East Side-Carnegie Hill,20065364.1983000002801418304443359375000,23778.4105123000008461531251668930054,6.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN99,park-cemetery-etc-Manhattan,91499473.6668999940156936645507812500000,155290.4514569999882951378822326660156,0.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN03,Central Harlem North-Polo Grounds,25402725.5782000012695789337158203125000,28027.3844481999985873699188232421875,17.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN04,Hamilton Heights,16014262.3212000001221895217895507812500,17132.3102575999982946086674928665161,29.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN22,East Village,10894242.6663000006228685379028320312500,13555.2320968000003631459549069404602,120.000000000000000
1.0000000000000000000000000000000,Manhattan,"061",MN23,West Village,24970650.4989000000059604644775390625000,28621.6508819000009680166840553283691,115.000000000000000
